ID:  0 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  1 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  2 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  3 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  4 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  5 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  6 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  7 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  8 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  9 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  10 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  11 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  12 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  13 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  14 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  15 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  16 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  17 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  18 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  19 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  20 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  21 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  22 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  23 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  24 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  25 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  26 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  27 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  28 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  29 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  30 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  31 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  32 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  33 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  34 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  35 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  36 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  37 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  38 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  39 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  40 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  41 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  42 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  43 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  44 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  45 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  46 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  47 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  48 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  49 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  50 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  51 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  52 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  53 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  54 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  55 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  56 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  57 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  58 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  59 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  60 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  61 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  62 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  63 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  64 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  65 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  66 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  67 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  68 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  69 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  70 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  71 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  72 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  73 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  74 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  75 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  76 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  77 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  78 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  79 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  80 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  81 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  82 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  83 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  84 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  85 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  86 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  87 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  88 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  89 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  90 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
ID:  91 torch.Size([1, 1, 48, 22, 24]) torch.Size([1, 4, 48, 22, 24])
